,bajo_nivel_pobreza,codigo,direccio_estado,direccio_fisica,direccion_municipio,direccion_zipcode,director,distrito,escuela,espa_ol_avanzado,espa_ol_b_sico,espa_ol_pre_b_sico,espa_ol_proficiente,espa_ol_proficiente_avanzado,estatus_actual,fax,geolocalizacion,grado_1,grado_10,grado_11,grado_12,grado_2,grado_3,grado_4,grado_5,grado_6,grado_7,grado_8,grado_9,grado_infant,grado_k,grado_pk,grado_pke,grado_pkm,grado_sge,grado_sgi,grado_sgs,grado_toddler,grados_original,grados_posterior,ingl_s_avanzado,ingl_s_b_sico,ingl_s_pre_b_sico,ingl_s_proficiente,ingl_s_proficiente_avanzado,matem_ticas_avanzado,matem_ticas_b_sico,matem_ticas_pre_b_sico,matem_ticas_proficiente,matem_ticas_proficiente_avanzado,matricula_total,municipio_escolar,nivel_original,region,table_id,telefono,zona
313,42.25,40519,PR,CALLE MARIA MONAGAS,ANASCO,6101407,ROSA E. COLLADO GONZALEZ,AGUADILLA,ALCIDES FIGUEROA,59.82,9.82,1.79,28.57,88.39,SI,826-2250,"{'latitude': '18.28147', 'longitude': '-67.13728'}",,26,46,49,,,,,45,25,42,51,,,,,,,,,,"7 - 9 , EEI","7 - 9 , EEI",85.71,2.68,0,11.61,97.32,9.82,65.18,2.68,22.32,32.14,284,ANASCO,INTERMEDIO,MAYAGUEZ,26,826-0570,URBANA
314,88.72,71449,PR,CARR 165 KM4 BO GALATEO,TOA ALTA,00954-0000,MARIA D. PABON NARVAEZ,TOA BAJA,ALEJANDRO JR CRUZ,21.05,34.21,7.89,36.84,57.89,SI,870-1560,"{'latitude': '18.36625', 'longitude': '-66.25677'}",48,,,,27,25,32,22,,,,,,37,,,,13,,,,"K - 6 , EEE","K - 5, EEE",10.53,44.74,18.42,26.32,36.84,50,26.32,13.16,10.53,60.53,204,TOA ALTA,ELEMENTAL,BAYAMON,27,870-1662,RURAL
315,94.50,63172,PR,VILLA PALMERA 369 CALLE BELEVUE,SAN JUAN,00915-0000,SHEILA GAGLIANI RIVERA,SAN JUAN II,ALEJANDRO TAPIA Y RIVERA,4.58,46.56,35.11,13.74,18.32,SI,726-0100,"{'latitude': '18.43826', 'longitude': '-66.04516'}",51,,,,50,51,40,54,,,,,,44,,,,15,,,,"K - 6 , EEE","K - 5, EEE",0,37.50,55.47,7.03,7.03,4.58,59.54,25.19,10.69,15.27,305,SAN JUAN IV,ELEMENTAL,SAN JUAN,30,726-0100,URBANA
316,76.34,31542,PR,AVE CALIMANO,MAUNABO,00707-0000,JUANA J HERNANDEZ,YABUCOA,ALFONSO CASTA  MARTINEZ,22.08,48.05,9.09,20.78,42.86,SI,861-2300,"{'latitude': '18.00734', 'longitude': '-65.89685'}",,95,81,81,,,,,,,,112,,,,,,,,,,12-Oct,12-Oct,10.39,42.86,25.97,20.78,31.17,0,72.73,27.27,0,0,369,MAUNABO,SUPERIOR,HUMACAO,32,861-2300,URBANA
317,76.65,32979,PR,CARR 31 SALIDA HACIA NAGUABO,JUNCOS,00777-0000,SANDRA JIMENEZ CUEVAS,LAS PIEDRAS,ALFONSO DIAZ LEBRON,10.95,45.27,14.93,28.86,39.80,SI,734-6806,"{'latitude': '18.22674', 'longitude': '-65.91815'}",,,,,,,,,118,115,101,,,,,,,,,,,9-Jul,"6 - 8, EEI",10.05,28.64,38.19,23.12,33.17,0,62.07,34.98,2.96,2.96,334,JUNCOS,INTERMEDIO,HUMACAO,33,734-6806; TS-734-3618,URBANA
318,79.81,20065,PR,CARR 797 KM 2 HM 4 BO. JAGUEYES ABAJO,AGUAS BUENAS,7030000,WANDA E. VELAZQUEZ,CIDRA,ALFONSO LOPEZ O'NEILL,19.32,43.18,19.32,18.18,37.50,SI,747-5895,"{'latitude': '18.28765', 'longitude': '-66.07612'}",34,,,,48,42,37,40,,,,,,20,,,,1,,,,K - 6,"K - 5, EEE",5.68,64.77,6.82,22.73,28.41,11.36,43.18,15.91,29.55,40.91,222,AGUAS BUENAS,ELEMENTAL,CAGUAS,34,747-5895,RURAL
319,94.78,53330,PR,CARR 371 BO ALMACIGO ALTO,YAUCO,00698-0000,CLARIBEL CAMACHO QUINONEZ,YAUCO,ALMACIGO ALTO II,38.24,26.47,1.47,33.82,72.06,SI,856-2141,"{'latitude': '18.06108', 'longitude': '-66.88103'}",23,,,,14,18,24,18,,,,,,15,16,,,7,,,,"PK - 6 , EEE","PK - 6 , EEE",11.76,50,13.24,25,36.76,41.18,17.65,2.94,38.24,79.41,135,YAUCO,ELEMENTAL,PONCE,35,856-2141,RURAL
320,86.66,71530,PR,BO CAMPANILLA CALLE PALMA 2,TOA BAJA,00951-0000,JOSEFINA MARRERO GONZALEZ,TOA BAJA,ALTINENCIA VALLE,14.44,46.52,13.37,25.67,40.11,SI,794-1460,"{'latitude': '18.42334', 'longitude': '-66.23427'}",95,,,,74,73,80,76,74,25,18,,,45,,,,35,,,,"K - 6 , EEE","K - 6 , EEE",6.74,44.47,22.37,26.42,33.15,12.83,47.86,16.84,22.46,35.29,595,TOA BAJA,ELEMENTAL,BAYAMON,37,794-1460,RURAL
321,79.71,17467,PR,"CARR. 119 KM 5.6 INT.BO PUENTE, SECTOR ZARZA",CAMUY,00627-0000,MARISOL HERNANDEZ HERMINA,CAMUY,AMALIA LOPEZ DE AVILA (NUEVA),52.05,17.81,1.37,28.77,80.82,SI,898-4815,"{'latitude': '18.46785', 'longitude': '-66.84433'}",74,,,,73,61,77,80,,,,,,72,,11,,5,,,,"K - 6 , EEE",K - 5,35.62,16.44,0,47.95,83.56,36.99,36.99,1.37,24.66,61.64,453,CAMUY,ELEMENTAL,ARECIBO,40,898-4830,RURAL
322,68.61,62661,PR,CALLE PENASCO FINAL PARADISE HILLS,SAN JUAN,00926-0000,IDALIA SANCHEZ RIVERA,SAN JUAN II,AMALIA MARIN,5.13,52.56,28.85,13.46,18.59,SI,763-5218,"{'latitude': '18.37701', 'longitude': '-66.06276'}",,60,70,59,,,,,50,43,40,52,,,,,,,6,,,"7 - 12 , EEI","7 - 12 , EEI",3.25,29.22,55.19,12.34,15.58,0,54.19,45.81,0,0,380,SAN JUAN V,SECUNDARIO,SAN JUAN,42,763-5218,URBANA
