,bajo_nivel_pobreza,codigo,direccio_estado,direccio_fisica,direccion_municipio,direccion_zipcode,director,distrito,escuela,espa_ol_avanzado,espa_ol_b_sico,espa_ol_pre_b_sico,espa_ol_proficiente,espa_ol_proficiente_avanzado,estatus_actual,fax,geolocalizacion,grado_1,grado_10,grado_11,grado_12,grado_2,grado_3,grado_4,grado_5,grado_6,grado_7,grado_8,grado_9,grado_infant,grado_k,grado_pk,grado_pke,grado_pkm,grado_sge,grado_sgi,grado_sgs,grado_toddler,grados_original,grados_posterior,ingl_s_avanzado,ingl_s_b_sico,ingl_s_pre_b_sico,ingl_s_proficiente,ingl_s_proficiente_avanzado,matem_ticas_avanzado,matem_ticas_b_sico,matem_ticas_pre_b_sico,matem_ticas_proficiente,matem_ticas_proficiente_avanzado,matricula_total,municipio_escolar,nivel_original,region,table_id,telefono,zona
552,79.11,35535,PR,CALLE 7 NORTE URB RIO GRANDE ESTATES,RIO GRANDE,00745-7003,LOURDES ORTIZ,CANOVANAS,FELIX SANCHEZ CRUZ,26.32,33.16,14.74,25.79,52.11,SI,888-7603,"{'latitude': '18.38203', 'longitude': '-65.79582'}",48,,,,48,53,58,59,,,,,,47,,5,,19,,,,"K - 6 , EEE","K - 6 , EEE",10.53,36.84,30,22.63,33.16,35.26,32.11,10.53,22.11,57.37,337,RIO GRANDE,ELEMENTAL,HUMACAO,352,888-7699,URBANA
553,87.90,36350,,CARR #31 INT #850 BO PENA POBRE SEC-HIGUERILLO,,,LUIS F. VELAZQUEZ SOLER,FAJARDO,FERMIN DELGADO DIAZ,17.98,39.89,11.80,30.34,48.31,SI,(787) 617-0090,"{'latitude': '18.23646', 'longitude': '-65.81325'}",43,,,,43,45,50,53,103,46,64,34,,54,27,,,12,5,,,PK - 9,"PK - 9, EEE",6.74,46.63,21.35,25.28,32.02,1.69,64.61,21.91,11.80,13.48,579,NAGUABO,SEGUNDA UNIDAD,HUMACAO,354,(787) 874-6445,RURAL
554,84.43,12088,PR,CALLE VENDING ESQ ROSARIO,MANATI,6743355,MARIA RIVERA RIVERA,MANATI,FERNANDO CALLEJO,8.40,60.31,12.98,18.32,26.72,SI,884-5007,"{'latitude': '18.42736', 'longitude': '-66.48723'}",,156,144,159,,,,,,,,268,,,,,,,,,,12-Oct,"9 - 12, EES",13.85,29.23,24.62,32.31,46.15,3.08,63.08,21.54,12.31,15.38,727,MANATI,SUPERIOR,ARECIBO,355,854-2629,URBANA
555,88.70,52050,PR,CALLE RAMOS ANTONINI 39 SECTOR EL TUQUE,PONCE,00732-0000,NEREIDA MADERA,PONCE,FERNANDO L MALAVE OLIVERAS,37.14,29.52,2.86,30.48,67.62,SI,843-5120,"{'latitude': '17.98809', 'longitude': '-66.65638'}",65,,,,63,62,69,49,64,43,54,,,64,,,,27,,,,"K - 6 , EEE","PK - 8, EEE, EEI",34.13,28.85,8.65,28.37,62.50,36.36,22.01,1.44,40.19,76.56,560,PONCE III,ELEMENTAL,PONCE,356,844-2048,URBANA
556,71.95,10702,PR,CALLE GEORGETTI BO PUEBLO,BARCELONETA,00617-0000,GILBERTO MENDEZ,MANATI,FERNANDO SURIA CHAVEZ,20.09,40.64,11.87,27.40,47.49,SI,846-5442,"{'latitude': '18.45177', 'longitude': '-66.5383'}",,216,226,235,,,,,,,,,,,,,,,,9,,Ã¦,12-Oct,25,25.93,31.02,18.06,43.06,0.92,70.05,25.81,3.23,4.15,686,BARCELONETA,SUPERIOR,ARECIBO,357,846-6750,URBANA
557,72.62,70904,PR,BO PUEBLO,COROZAL,-783,ALFREDO COLLAZO OLIVERAS,COROZAL,FIDEL LOPEZ COLON,16.16,44.44,18.18,21.21,37.37,SI,859-2500,"{'latitude': '18.34097', 'longitude': '-66.30778'}",64,,,,90,97,102,100,,,,,,57,,,,,,,,"K - 6 , EEE","K - 6 , EEE",10.81,42.23,27.03,19.93,30.74,18.52,44.11,8.75,28.62,47.14,510,COROZAL,ELEMENTAL,BAYAMON,358,859-4592,URBANA
558,83.33,33225,PR,CALLE ANTONIO RIOS LATERAL 7,NAGUABO,7180000,LESBIA ROSARIO AYALA,FAJARDO,FIDELINA MELENDEZ MONSANTO,38.82,32.94,9.41,18.82,57.65,SI,874-0410,"{'latitude': '18.21099', 'longitude': '-65.73378'}",,,,,,,,,99,123,120,,,,,,,,,,,9-Jul,9-Jul,13.24,36.47,15.29,35,48.24,13.53,51.47,13.24,21.76,35.29,342,NAGUABO,INTERMEDIO,HUMACAO,359,874-3315,URBANA
559,78.63,35592,PR,CALLE JOSE C BARBOSA FRENTE CENTRO PIEZAS,LAS PIEDRAS,00771-0000,PEDRO ANDINO GARCIA,LAS PIEDRAS,FLORENCIA GARCIA,8.70,47.83,21.74,21.74,30.43,SI,716-0191,"{'latitude': '18.17793', 'longitude': '-65.85994'}",,145,141,118,,,,,,,,87,,,,,,,,10,,"10 - 12 , EES","10 - 12 , EES",10.14,34.78,46.38,8.70,18.84,0,64.49,31.16,4.35,4.35,501,LAS PIEDRAS,SUPERIOR,HUMACAO,360,716-0044 - 716-0075,URBANA
560,70.33,55350,PR,CALLE JOSE I QUINTON 116 BO PUEBLO,COAMO,00769-0000,ANTONIO ZAYAS,SANTA ISABEL,FLORENCIO SANTIAGO,26.82,37.16,11.11,24.90,51.72,SI,825-7753,"{'latitude': '18.07785', 'longitude': '-66.36231'}",,,,,,,,,,152,121,,,,,,,,,,,9-Jul,9-Jul,26.44,34.48,13.41,25.67,52.11,9.20,63.98,13.41,13.41,22.61,273,COAMO,INTERMEDIO,PONCE,361,825-1575,URBANA
561,85.64,71704,PR,CARR 866 AVE. PRINCIPAL BO SABANA SECA,TOA BAJA,00951-0000,CARMEN RODRIGUEZ SUAREZ,TOA BAJA,FRANCISCA DAVILA SEMPRIT,6.02,48.49,31.10,14.38,20.40,SI,784-3455,"{'latitude': '18.4268', 'longitude': '-66.18486'}",22,,,,21,20,19,23,81,64,49,,,19,,,,14,64,,,"K - 6 , EEE","K - 6 , EEE",2.68,34.90,51.01,11.41,14.09,3.02,50,39.26,7.72,10.74,396,TOA BAJA,ELEMENTAL,BAYAMON,363,784-3455,RURAL
562,83.75,27318,PR,URB. COSTA AZUL CALLE 9,GUAYAMA,7850000,CARLOS M. MELENDEZ LEON,GUAYAMA,FRANCISCO GARCIA BOYRIE,11.31,43.82,26.50,18.37,29.68,SI,866-2724,"{'latitude': '17.97575', 'longitude': '-66.09809'}",20,,,,24,25,24,32,91,92,86,,,24,,,,,29,,,"7 - 9 , EEI","K - 8, EEI",9.54,36.04,33.22,21.20,30.74,1.06,59.01,37.81,2.12,3.18,447,GUAYAMA,INTERMEDIO,CAGUAS,364,864-3879,URBANA
563,79.23,78733,PR,CARR 167 KM 13 HM 8 BUENA VISTA,BAYAMON,00956-9718,ANA H. RIVERA DIAZ,BAYAMON,FRANCISCO GAZTAMBIDE VEGA,16.53,42.15,12.40,28.93,45.45,SI,279-4443,"{'latitude': '18.33498', 'longitude': '-66.20119'}",,129,128,85,,,,,,,,155,,,,,,,,,,12-Oct,12-Oct,16.81,25.21,40.34,17.65,34.45,0,60.83,38.33,0.83,0.83,497,BAYAMON III,SUPERIOR,BAYAMON,365,799-0563,RURAL
564,79.37,13326,PR,CARR 111 RAMAL 621,UTUADO,00641-0000,NILDA EVA HERNANDEZ RIVERA,UTUADO,FRANCISCO JORDAN,28.08,30.14,14.38,27.40,55.48,SI,894-2296,"{'latitude': '18.28343', 'longitude': '-66.75156'}",19,,,,22,23,9,13,31,29,38,,,11,,,,,,,,K - 9,K - 9,17.24,38.62,14.48,29.66,46.90,11.72,58.62,17.93,11.72,23.45,195,UTUADO,SEGUNDA UNIDAD,PONCE,366,894-7705,RURAL
565,58.23,78956,PR,CARR #164 KM 3 HM 1,NARANJITO,7190000,JOSE ARNALDO HERNANDEZ RODRIGUEZ,COROZAL,FRANCISCO LOPEZ CRUZ,14.36,47.51,19.89,18.23,32.60,SI,869-7414,"{'latitude': '18.298222', 'longitude': '-66.240345'}",64,,,,43,51,43,53,,,,,,42,,,,53,,,,"K - 6 , EEE","K - 6 , EEE",2.78,51.11,30,16.11,18.89,11.60,50.83,12.15,25.41,37.02,349,NARANJITO,ELEMENTAL,BAYAMON,367,869-3230,RURAL
566,76.84,70284,PR,URB REXVILLE CALLE 41 FINAL,BAYAMON,00957-0000,VILMA M. DELIZ,BAYAMON,FRANCISCO MANRIQUE CABRERA,15.97,35.42,17.36,31.25,47.22,SI,797-1850,"{'latitude': '18.36872', 'longitude': '-66.19271'}",,135,148,152,,,,,,,,161,,,,,,,,10,,"10 - 12 , EES","10 - 12 , EES",19.05,34.69,22.45,23.81,42.86,0,68.03,27.89,4.08,4.08,606,BAYAMON III,SUPERIOR,BAYAMON,368,797-8110,URBANA
567,64.72,65987,PR,"CALLE ALMENDRO, VALLE ARRIBA HIGTS",CAROLINA,00984-3474,VACANTE,CAROLINA,FRANCISCO MATIAS LUGO,11.47,48.38,20.95,19.20,30.67,SI,762-3570,"{'latitude': '18.41018', 'longitude': '-65.97385'}",69,,,,91,92,103,115,,,,,,61,,5,45,3,,,,"K - 6 , EEE","K - 6 , EEE",12,44.25,24.75,19,31,7,51.75,15.25,26,33,584,CAROLINA II,ELEMENTAL,SAN JUAN,370,757-0410,URBANA
568,69.97,15248,PR,CALLE CORCHADO,ISABELA,6621776,MANUEL PINEIRO PINEIRO,SAN SEBASTIAN,FRANCISCO MENDOZA,27.40,32.69,12.50,27.40,54.81,SI,872-2275,"{'latitude': '18.50178', 'longitude': '-67.01981'}",,250,218,244,,,,,,,,214,,,,,,,,12,,"10 - 12 , EES","9 - 12, EES",25.98,25.49,25.49,23.04,49.02,8.70,61.84,18.36,11.11,19.81,938,ISABELA,SUPERIOR,MAYAGUEZ,371,872-2275,URBANA
569,92.25,12062,PR,CARR 667 KM 4 HM 6 BO CORTES,MANATI,00674-0000,GLORIMAR FALCONI ARROYO,MANATI,FRANCISCO MENENDEZ BALBANE,71.59,10.23,3.41,14.77,86.36,SI,854-3063,"{'latitude': '18.413', 'longitude': '-66.53019'}",14,,,,21,22,20,19,25,,,,,13,,,,,,,,K - 6,K - 6,69.32,0,0,30.68,100,62.50,4.55,3.41,29.55,92.05,134,MANATI,ELEMENTAL,ARECIBO,372,854-3063,RURAL
570,75.55,71225,PR,CARR 152 CALLE GEORGETTI INTERIOR,NARANJITO,00719-0000,VACANTE,COROZAL,FRANCISCO MORALES,11.59,45.65,18.12,24.64,36.23,SI,869-7151,"{'latitude': '18.29953', 'longitude': '-66.24925'}",,208,151,124,,,,,,,,133,,,,,,,,,,12-Oct,12-Oct,15.94,29.71,36.23,18.12,34.06,3.62,69.57,23.91,2.90,6.52,616,NARANJITO,SUPERIOR,BAYAMON,373,869-5277,URBANA
571,87.55,70813,PR,AVE LAS NEREIDAS,TOA BAJA,00950-1179,NIGMY MUSTAFA,TOA BAJA,FRANCISCO OLLER,8.75,50.63,13.75,26.88,35.63,SI,275-0995,"{'latitude': '18.44143', 'longitude': '-66.12656'}",,211,170,180,,,,,,,,191,,,,,,,,,,12-Oct,12-Oct,10,31.88,45.63,12.50,22.50,0,66.46,32.91,0.63,0.63,752,CATANO,SUPERIOR,BAYAMON,374,788-1696,URBANA
572,73.09,14787,PR,URB VISTA AZUL CALLE 17,ARECIBO,00612-0000,NERYS L REYES RODRIGUEZ,ARECIBO,FRANCISCO PACHIN MARIN,35.80,30.45,9.88,23.87,59.67,SI,878-2019,"{'latitude': '18.47023', 'longitude': '-66.75383'}",42,,,,64,59,63,59,,,,,,66,,,,,,,,K - 6,K - 6,25.93,31.28,9.47,33.33,59.26,17.70,38.27,8.23,35.80,53.50,353,ARECIBO II,ELEMENTAL,ARECIBO,375,878-2019,URBANA
573,89.28,58255,PR,BO GUAYABAL CERRO,JUANA DIAZ,7950000,HECTOR M.BONILLA CINTRON,SANTA ISABEL,FRANCISCO PRADO PICART,10.53,45.39,28.29,15.79,26.32,SI,260-3131,"{'latitude': '18.07391', 'longitude': '-66.49311'}",27,,,,31,37,46,32,42,47,29,35,,37,,,,,,,,K - 6,K - 9,10.53,40.79,25.66,23.03,33.55,7.89,57.89,19.74,14.47,22.37,363,JUANA DIAZ,ELEMENTAL,PONCE,378,837-3027,RURAL
574,82.49,13151,PR,CALLE DR CUETO,UTUADO,00641-0000,ELYOD MALDONADO ZEDA,UTUADO,FRANCISCO RAMOS,51.90,22.27,9.48,16.35,68.25,SI,894-0332,"{'latitude': '18.2667', 'longitude': '-66.70568'}",,,,,,,,,129,143,162,,,,,,,,,,,9-Jul,9-Jul,25.36,30.57,25.12,18.96,44.31,22.09,43.71,28.74,5.46,27.55,434,UTUADO,INTERMEDIO,PONCE,379,894-2470,URBANA
575,82.12,12245,PO BOX 388,CARR 159KM 1 HM O AVE. COROZAL,MOROVIS,00687-0000,JOSE F. RODRIGUEZ ROSARIO,OROCOVIS,FRANCISCO RIVERA CLAUDIO,18.12,35.14,20.29,26.45,44.57,SI,862-4985,"{'latitude': '18.32594', 'longitude': '-66.40145'}",,,,,,,,,90,82,94,,,,,,,,8,,,9-Jul,9-Jul,8.36,44,28.73,18.91,27.27,1.45,56.36,36.73,5.45,6.91,274,MOROVIS,INTERMEDIO,BAYAMON,380,862-8217,URBANA
576,84.21,76356,PR,CARR 814 KM 4 BO ANONES,NARANJITO,7190790,CARMEN Z. OTERO SANTIAGO,COROZAL,FRANCISCO ROQUE MUNOZ,30.14,32.88,12.33,24.66,54.79,SI,869-3121,"{'latitude': '18.28085', 'longitude': '-66.24554'}",24,,,,15,33,20,13,,,,,,21,16,7,,7,,,,"PK - 6 , EEE","PK - 6 , EEE",4.17,36.11,30.56,29.17,33.33,38.36,30.14,5.48,26.03,64.38,156,NARANJITO,ELEMENTAL,BAYAMON,382,869-3121,RURAL
577,86.26,21006,PR,CARR 798 KM 12 HM 5 BO. RIO CANAS,CAGUAS,7264956,MARIA MERCEDES CRUZ ORELLANA,GURABO,FRANCISCO VALDES,16.90,40.85,5.63,36.62,53.52,SI,744-4050,"{'latitude': '18.29189', 'longitude': '-66.05016'}",24,,,,15,30,21,19,,,,,,23,,5,,5,,,,"K - 6 , EEE","K - 6 , EEE",2.82,53.52,16.90,26.76,29.58,21.13,40.85,7.04,30.99,52.11,142,CAGUAS I,ELEMENTAL,CAGUAS,384,747-9464,RURAL
578,62.20,53256,PR,CARR 150 KM 5 HM I URB LA VEGA,VILLALBA,00766-0000,HERIBERTO VAZQUEZ,SANTA ISABEL,FRANCISCO ZAYAS SANTANA,12.79,40.99,23.76,22.45,35.25,SI,847-4836,"{'latitude': '18.12578', 'longitude': '-66.49031'}",,,,,,,,,113,155,114,,,,,,,,37,,,"7 - 9 , EEI","7 - 9 , EEI",7.03,37.24,37.76,17.97,25,2.09,57.59,34.29,6.02,8.12,419,VILLALBA,INTERMEDIO,PONCE,385,847-2110,URBANA
579,97.41,66167,PR,AVE EDUARDO CONDE FINAL,SAN JUAN,00916-7368,BETZAIDA JIMENEZ,SAN JUAN II,FRAY BARTOLOME DE LAS CASAS,29.79,39.36,17.02,13.83,43.62,SI,728-6278,"{'latitude': '18.43464', 'longitude': '-66.03578'}",50,,,,46,24,39,22,,,,,,44,,,,17,,,,"K - 6 , EEE","K - 5, EEE",29.21,24.72,8.99,37.08,66.29,18.09,28.72,6.38,46.81,64.89,242,SAN JUAN IV,ELEMENTAL,SAN JUAN,389,726-5169,URBANA
580,92.13,30197,PR,CALLE IGUALDAD 174,FAJARDO,00738-0000,LUIS BENABE PEREZ,FAJARDO,GABINO SOTO,30.25,42.86,5.88,21.01,51.26,SI,860-8482,"{'latitude': '18.32381', 'longitude': '-65.65645'}",43,,,,27,41,33,44,,,,,,41,,,,8,,,,"K - 6 , EEE","K - 5, EEE",9.40,47.01,11.11,32.48,41.88,32.20,40.68,2.54,24.58,56.78,237,FAJARDO,ELEMENTAL,HUMACAO,391,863-0724,URBANA
581,88.83,11593,PR,CARR 135 KM 65.6,LARES,6690000,WALDEMAR LOPEZ ACEVEDO,CAMUY,GABRIELA MISTRAL,14.85,50.50,22.77,11.88,26.73,SI,829-1198,"{'latitude': '18.17848', 'longitude': '-66.83036'}",,41,31,30,,,,,,35,34,32,,,,,,,,1,,"7 - 12 EEI , EES","7 - 12 EEI , EES",5.94,32.67,33.66,27.72,33.66,0,71.29,28.71,0,0,204,LARES,SECUNDARIO,ARECIBO,392,829-1198,RURAL
582,84.49,61382,PR,AVE JESUS T PINERO,SAN JUAN,00921-0000,MARIA DE L. CARRILLO VELEZ,SAN JUAN I,GABRIELA MISTRAL,1.96,67.65,14.71,15.69,17.65,SI,782-0945,"{'latitude': '18.40158', 'longitude': '-66.09082'}",,176,119,104,,,,,,,,229,,,,,,,,,,12-Oct,12-Oct,9,33,41,17,26,0,66.34,33.66,0,0,628,SAN JUAN II,SUPERIOR,SAN JUAN,393,782-4208,URBANA
583,97.04,62562,PR,CALLE GENERAL VALERO URB. LAS DELICIAS,SAN JUAN,00924-0000,MAGALY RUIZ,SAN JUAN II,GASPAR VILA MAYANS,3.57,41.43,38.57,16.43,20,SI,767-1402,"{'latitude': '18.3985', 'longitude': '-66.03019'}",36,,,,29,41,31,41,,,,,,26,,,,,,,,K - 6,K - 6,2.16,30.22,50.36,17.27,19.42,13.67,56.83,16.55,12.95,26.62,204,SAN JUAN III,ELEMENTAL,SAN JUAN,394,767-1402,URBANA
584,44.53,24786,PR,CALLE ASHFORD ESQ. SAN AGUSTIN,GUAYAMA,00785-0000,VICTORIA SANTIAGO,GUAYAMA,GENARO CAUTINO,63.84,11.30,1.13,23.73,87.57,SI,864-0668,"{'latitude': '17.99037', 'longitude': '-66.11254'}",,62,53,65,,,,,36,37,51,71,,,,,,,,,,"7 - 12 , EEI","7 - 12 , EEI",66.67,3.95,1.13,28.25,94.92,35.59,30.51,1.13,32.77,68.36,375,GUAYAMA,SECUNDARIO,CAGUAS,397,866-4034,URBANA
585,81.48,23309,PR,AVE JOSE DE DIEGO 58,SAN LORENZO,00754-0000,VALEDIS MARTINEZ DELGADO,YABUCOA,GENEROSO MORALES MUNOZ,14.20,37.87,26.33,21.60,35.80,SI,736-6658,"{'latitude': '18.1887', 'longitude': '-65.96106'}",,,,,,,,,96,116,90,,,,,,,,49,,,"7 - 9 , EEI","7 - 9 , EEI",9.17,36.39,40.83,13.61,22.78,0,55.49,40.65,3.86,3.86,351,SAN LORENZO,INTERMEDIO,HUMACAO,398,736-6658,URBANA
586,76.05,12005,PR,CARR 111 KM 33 HM 9 BO PUEBLO SECT BURUQUILLO,LARES,00669-0000,LUZ N NIEVES,CAMUY,GEORGE WASHINGTON,40.22,22.83,3.26,33.70,73.91,SI,897-4095,"{'latitude': '18.194', 'longitude': '-66.89'}",60,,,,50,62,43,66,,,,,,48,,,,,,,,"K - 6 , EEE",k - 5,26.09,26.09,4.35,43.48,69.57,43.48,20.65,2.17,33.70,77.17,329,LARES,ELEMENTAL,ARECIBO,400,897-4095,RURAL
587,82.66,43257,PR,CARR 330 KM 2.8 INT BO DUEY BAJO,SAN GERMAN,00667-0000,MAGALY PABON RAMIREZ,CABO ROJO,GEORGINA ALVARADO,75.68,12.16,1.35,10.81,86.49,SI,892-7590,"{'latitude': '18.13602', 'longitude': '-67.07152'}",29,,,,25,28,36,29,,,,,,40,16,,,,,,,K - 6,PK - 5,74.32,10.81,6.76,8.11,82.43,72.97,13.51,0,13.51,86.49,203,SAN GERMAN,ELEMENTAL,MAYAGUEZ,401,892-7590,RURAL
588,79.88,35048,PR,CARR 186 KM 7 MH 1 BO CUBUY,CANOVANAS,00729-0014,MANUEL QUINONES LEBRON,CANOVANAS,GEORGINA BAQUERO,10.75,43.55,24.19,21.51,32.26,SI,876-7807,"{'latitude': '18.26638', 'longitude': '-65.87392'}",,42,26,62,,,,,49,53,60,49,,,,,,,,1,,"7 - 12 , EES","7 - 12 , EES",8.11,41.62,33.51,16.76,24.86,0,62.16,35.68,2.16,2.16,342,CANOVANAS,SECUNDARIO,HUMACAO,402,876-7807,RURAL
589,52.12,23598,PR,AVE JOSE MERCADO URB EL VERDE,CAGUAS,00726-000,ELI SAMUEL ENCARNACION LOPEZ,GURABO,GERARDO SELLES SOLA,43.18,19.55,0.45,36.82,80,SI,744-4015,"{'latitude': '18.22684', 'longitude': '-66.03575'}",,17,,,,,,,62,72,93,86,,,,,,,,,,9-Jul,9-Jul,31.82,29.09,6.82,32.27,64.09,1.36,70.45,17.27,10.91,12.27,330,CAGUAS II,INTERMEDIO,CAGUAS,403,743-3276,URBANA
590,72.63,33043,PR,BO. PUEBLO NUEVO,VIEQUES,00765-0857,CARMEN VIRGINIA DELERME GUTIÃÂ¯ÃÂ¿ÃÂ½RREZ,FAJARDO,GERMAN RIECKEHOFF,3.77,52.83,28.30,15.09,18.87,SI,741-3280,"{'latitude': '18.15216', 'longitude': '-65.43863'}",,75,52,69,,,,,,,,71,,,,,,,,17,,"10 - 12 , EES","10 - 12 , EES",3.70,33.33,46.30,16.67,20.37,0,59.26,40.74,0,0,284,VIEQUES,SUPERIOR,HUMACAO,405,741-8340,URBANA
591,68.84,69930,PR,AVE SANCHEZ OSORIO VF,CAROLINA,00984-0000,MILAGROS COLLAZO,CAROLINA,GILBERTO CONCEPCION DE GRACIA,15.99,44.90,8.84,30.27,46.26,SI,768-2216,"{'latitude': '18.40046', 'longitude': '-65.97719'}",,302,298,279,,,,,,,,296,,,,,,,,10,,12-Oct,12-Oct,21.80,26.99,25.95,25.26,47.06,2.08,67.13,30.10,0.69,2.77,1185,CAROLINA II,SUPERIOR,SAN JUAN,406,768-2216,URBANA
592,78.22,25197,PR,CARR 3 KM 118 HM 3,PATILLAS,00723-0000,FRANCES ADLIN RIVERA AMILL,YABUCOA,GUILLERMO RIEFKHOL,11.76,49.02,11.76,27.45,39.22,SI,839-8231,"{'latitude': '17.98027', 'longitude': '-65.99573'}",21,,,,10,11,23,19,,,,,,21,,,22,4,,,,"PK - 6 , EEE","PK - 6 , EEE",3.92,47.06,31.37,17.65,21.57,9.80,43.14,3.92,43.14,52.94,131,PATILLAS,ELEMENTAL,HUMACAO,409,839-8231,RURAL
593,81.93,34272,PR,CALLE 25 URB VILLAS DE LOIZA,LOIZA,7720000,JUDITH SALGADO ORLANDO,CANOVANAS,GULLERMINA ROSADO DE AYALA,25.49,36.86,18.04,19.61,45.10,SI,256-5105,"{'latitude': '18.38393', 'longitude': '-65.8683'}",64,,,,65,74,62,60,29,8,,,,38,,,,9,,,,"K - 6 , EEE","K - 6 , EEE",3.20,45.20,28.80,22.80,26,13.49,51.59,14.29,20.63,34.13,409,LOIZA,ELEMENTAL,HUMACAO,410,256-2050,URBANA
594,93.06,64527,PR,CALLE FRANCIA ESQ ARECIBO 31,SAN JUAN,00930-0469,DAMARIS CONCEPCION,SAN JUAN II,GUSTAVO A BECQUER,15,54.17,10.83,20,35,SI,764-4260,"{'latitude': '18.41383', 'longitude': '-66.04914'}",25,,,,16,22,28,23,,,,,,25,,,,6,,,,"K - 6 , EEE","K - 6 , EEE",2.50,45.83,29.17,22.50,25,10,50.83,12.50,26.67,36.67,145,SAN JUAN IV,ELEMENTAL,SAN JUAN,411,764-4260,URBANA
595,77.86,11239,PR,CARR 632 KM 2 BO HATO VIEJO,CIALES,00638-0000,DENISE PAGAN OCASIO,MANATI,HATO VIEJO CUMBRE,23.38,38.96,0,37.66,61.04,SI,871-3616,"{'latitude': '18.36056', 'longitude': '-66.49272'}",14,,,,23,18,23,19,23,,,,,14,,,,,,,,K - 6,K - 6,1.30,64.94,10.39,23.38,24.68,18.18,45.45,5.19,31.17,49.35,134,CIALES,ELEMENTAL,ARECIBO,413,871-3616,RURAL
596,83.28,23119,PR,URB VILLA DEL REY CALLE 12 A 4TA SECC,CAGUAS,00726-7285,ELIZABETH CLAUDIO CONTRERAS,GURABO,HAYDEE CABALLERO,5.58,48.70,27.51,18.22,23.79,SI,745-0465,"{'latitude': '18.21488', 'longitude': '-66.0533'}",,,,,,,,,94,95,60,,,,,,,,56,,,"7 - 9 , EEI","7 - 9 , EEI",6.72,35.07,45.15,13.06,19.78,0.37,55.60,42.54,1.49,1.87,305,CAGUAS II,INTERMEDIO,CAGUAS,414,744-4575,URBANA
597,71.09,52142,PR,CALLE CONCORDIA  8139,PONCE,7171547,RADAMES CRUZ,PONCE,HEMETERIO COLON,26.01,31.42,9.46,33.11,59.12,SI,840-3501,"{'latitude': '18.0076', 'longitude': '-66.61467'}",,,,,,,,,86,95,113,,,,,,,,,,,9-Jul,9-Jul,26.44,29.49,13.22,30.85,57.29,3.04,70.95,14.53,11.49,14.53,294,PONCE II,INTERMEDIO,PONCE,416,840-3500,URBANA
598,84.39,43323,PR,CALLE LUNA,SAN GERMAN,00683-0000,AWILDA TORO ALEQUIN,CABO ROJO,HENRY W LONGFELLOW,60.89,19.80,0.99,18.32,79.21,SI,892-1358,"{'latitude': '18.08018', 'longitude': '-67.03717'}",52,,,,55,61,53,49,,,,,,49,15,,,,,,,PK - 6,PK - 6,58.91,10.40,1.49,29.21,88.12,59.90,14.85,0.50,24.75,84.65,334,SAN GERMAN,ELEMENTAL,MAYAGUEZ,417,892-1358,URBANA
599,76.15,43307,PR,CARR 347 KM 4 HM 3 LA HACIENDITA,SAN GERMAN,00667-0000,HECTOR R. SOTO UJAQUE,CABO ROJO,HERMINIA C RAMIREZ,86.46,1.04,1.04,11.46,97.92,SI,892-7105,"{'latitude': '18.1076', 'longitude': '-67.06978'}",25,,,,19,19,25,32,,,,,,25,,,,,,,,K - 6,K - 6,89.58,0,0,10.42,100,72.92,2.08,0,25,97.92,145,SAN GERMAN,ELEMENTAL,MAYAGUEZ,419,892-7105,RURAL
600,79.72,54635,PR,CALLE E9 URB GLENVIEW GARDEN,PONCE,00731-0000,CARLOS FIGUEROA FIGUEROA,PONCE,HERMINIA GARCIA,52.78,17.06,1.19,28.97,81.75,SI,840-6455,"{'latitude': '18.04266', 'longitude': '-66.59335'}",89,,,,81,86,92,102,,,,,,70,,,,,,,,K - 6,K - 5,48.21,17.53,0.40,33.86,82.07,39.29,23.81,2.78,34.13,73.41,520,PONCE I,ELEMENTAL,PONCE,421,840-6455,URBANA
601,76.39,70664,PR,CARR 174 KM 10 HM 9 BO GUARAGUAO,BAYAMON,00958-1314,SARAH RODRIGUEZ,BAYAMON,HERMINIA RIVERA FERNANDEZ,11.50,47,20.50,21,32.50,SI,787-9774,"{'latitude': '18.31667', 'longitude': '-66.1437'}",32,,,,38,28,24,29,52,33,33,,,21,4,,,8,12,,,"PK - 9 , EEE - EEI","PK - 9 , EEE - EEI",4.95,45.54,32.67,16.83,21.78,1.49,54.73,30.85,12.94,14.43,314,BAYAMON II,SEGUNDA UNIDAD,BAYAMON,422,787-9774,RURAL
602,65.42,57828,,,,,,SANTA ISABEL,HERMINIO W SANTAELLA,,,,,,SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COAMO,,PONCE,424,,
603,73.68,51177,PR,CARR 335 HM 4 BO INDIOS,GUAYANILLA,6560000,EDILBERTO RIVERA CRUZ,YAUCO,HIPOLITO GARCIA,20.47,40.35,13.45,25.73,46.20,SI,835-1601,"{'latitude': '17.99275', 'longitude': '-66.81443'}",30,,,,42,33,46,42,33,29,,,,41,16,,,,,,,PK - 6,PK - 6,9.94,47.95,15.20,26.90,36.84,15.20,48.54,10.53,25.73,40.94,312,GUAYANILLA,ELEMENTAL,PONCE,425,835-3815,RURAL
